id,sex,ageM,trialOrd,frm,idtrialOrd,trialNum,pointLR,conf,faceAngRaw,faceAngMod,gazeAngRaw,gazeAngMod,pointLRConf
1,m,18,4,9,1_4,71,L,0.88,0.062,0.0469683,0.029,0.031790675,3.5
1,m,18,4,10,1_4,71,L,0.88,0.116,0.104850038,0.068,0.074848428,3.5
1,m,18,4,11,1_4,71,L,0.88,0.147,0.138465851,0.093,0.102504864,3.5
1,m,18,4,12,1_4,71,L,0.88,0.162,0.15550464,0.105,0.116490456,3.5
1,m,18,4,13,1_4,71,L,0.88,0.155,0.149121512,0.103,0.115115626,3.5
1,m,18,4,14,1_4,71,L,0.88,0.157,0.152138638,0.106,0.119096444,3.5
1,m,18,4,15,1_4,71,L,0.88,0.155,0.149832908,0.106,0.118778269,3.5
1,m,18,4,16,1_4,71,L,0.88,0.157,0.151516594,0.107,0.119485601,3.5
1,m,18,4,17,1_4,71,L,0.88,0.156,0.150738961,0.108,0.120741368,3.5
1,m,18,4,18,1_4,71,L,0.88,0.151,0.144819707,0.105,0.116790183,3.5
1,m,18,4,19,1_4,71,L,0.88,0.166,0.15883454,0.113,0.123948065,3.5
1,m,18,4,20,1_4,71,L,0.88,0.156,0.149329592,0.107,0.118369911,3.5
1,m,18,4,21,1_4,71,L,0.88,0.157,0.149331019,0.109,0.119344818,3.5
1,m,18,4,22,1_4,71,L,0.88,0.158,0.149488331,0.11,0.119479828,3.5
1,m,18,4,23,1_4,71,L,0.88,0.157,0.147786093,0.108,0.116787356,3.5
1,m,18,4,24,1_4,71,L,0.88,0.157,0.147177415,0.109,0.11715776,3.5
1,m,18,4,25,1_4,71,L,0.88,0.153,0.142666667,0.106,0.113592861,3.5
1,m,18,4,26,1_4,71,L,0.88,0.16,0.1489854,0.108,0.115015942,3.5
1,m,18,4,27,1_4,71,L,0.88,0.155,0.143911208,0.108,0.114936146,3.5
1,m,18,4,28,1_4,71,L,0.88,0.163,0.151651066,0.11,0.11671946,3.5
